Date,Closing Price
2025-10-21,442.6000061035156
2025-10-22,438.9700012207031
2025-10-23,448.9800109863281
2025-10-24,433.7200012207031
2025-10-27,452.4200134277344
2025-10-28,460.54998779296875
2025-10-29,461.510009765625
2025-10-30,440.1000061035156
2025-10-31,456.55999755859375
2025-11-03,468.3699951171875
2025-11-04,444.260009765625
2025-11-05,462.07000732421875
2025-11-06,445.9100036621094
2025-11-07,429.5199890136719
2025-11-10,445.2300109863281
2025-11-11,439.6199951171875
2025-11-12,430.6000061035156
2025-11-13,401.989990234375
2025-11-14,404.3500061035156
2025-11-17,408.9200134277344
2025-11-18,401.25
2025-11-19,403.989990234375
2025-11-20,395.2300109863281
2025-11-21,391.0899963378906
2025-11-24,417.7799987792969
2025-11-25,419.3999938964844
2025-11-26,426.5799865722656
2025-11-28,430.1700134277344
2025-12-01,430.1400146484375
2025-12-02,429.239990234375
2025-12-03,446.739990234375
2025-12-04,454.5299987792969
2025-12-05,455.0
2025-12-08,439.5799865722656
2025-12-09,445.1700134277344
2025-12-10,451.45001220703125
2025-12-11,446.8900146484375
2025-12-12,458.9599914550781
2025-12-15,475.30999755859375
2025-12-16,489.8800048828125
2025-12-17,467.260009765625
2025-12-18,483.3699951171875
2025-12-19,481.20001220703125
